ZIP Code,YoY Growth 2024,Total Exposure 2024,YoY Growth 2023,Total Exposure 2023,YoY Growth 2022,Total Exposure 2022,YoY Growth 2021,Total Exposure 2021,Total Exposure 2020
94133,98.2%,"$ 3 3,701,595",5.8%,"$ 1 7,002,065",63.3%,"$ 1 6,070,659",-7.9%,"$ 9 ,842,065","$ 1 0,684,051"
94134,673.7%,"$ 6 6,788,571",3.9%,"$ 8 ,631,920",-9.9%,"$ 8 ,305,836",-1.7%,"$ 9 ,222,031","$ 9 ,383,413"
94158,34.6%,"$ 3 ,589,450",-3.7%,"$ 2 ,666,508",162.4%,"$ 2 ,770,321",-60.1%,"$ 1 ,055,607","$ 2 ,646,813"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
95202,122.3%,"$ 1 1,693,094",16.5%,"$ 5 ,261,224",79.2%,"$ 4 ,514,247",-20.9%,"$ 2 ,518,936","$ 3 ,185,991"
95203,98.6%,"$ 2 8,180,691",4.0%,"$ 1 4,192,507",7.5%,"$ 1 3,651,298",-6.5%,"$ 1 2,701,094","$ 1 3,586,740"
95204,57.7%,"$ 2 5,381,858",99.2%,"$ 1 6,090,784",9.7%,"$ 8 ,078,079",-4.8%,"$ 7 ,361,254","$ 7 ,730,621"
95205,90.5%,"$ 4 7,108,291",12.2%,"$ 2 4,725,378",4.5%,"$ 2 2,032,364",8.6%,"$ 2 1,089,620","$ 1 9,419,543"
95206,81.6%,"$ 5 1,480,303",20.9%,"$ 2 8,353,023",1.9%,"$ 2 3,449,985",12.8%,"$ 2 3,010,823","$ 2 0,391,163"
95207,123.3%,"$ 2 5,383,947",83.8%,"$ 1 1,365,746",107.1%,"$ 6 ,182,135",-5.6%,"$ 2 ,984,384","$ 3 ,160,671"
95209,140.1%,"$ 1 3,484,319",40.6%,"$ 5 ,616,740",23.3%,"$ 3 ,995,549",5.4%,"$ 3 ,239,771","$ 3 ,075,037"
95210,365.2%,"$ 1 0,310,852",56.9%,"$ 2 ,216,569",-6.8%,"$ 1 ,413,007",-14.5%,"$ 1 ,515,619","$ 1 ,772,803"
95212,241.9%,"$ 1 6,378,014",173.5%,"$ 4 ,790,585",32.2%,"$ 1 ,751,578",0.9%,"$ 1 ,325,194","$ 1 ,313,612"
95215,151.3%,"$ 2 4,983,509",-25.0%,"$ 9 ,942,129",63.3%,"$ 1 3,264,681",-6.7%,"$ 8 ,121,086","$ 8 ,703,121"
95219,316.7%,"$ 1 4,652,519",4.1%,"$ 3 ,516,386",-21.5%,"$ 3 ,377,567",6.7%,"$ 4 ,300,385","$ 4 ,030,096"
95220,25.3%,"$ 8 ,946,071",279.4%,"$ 7 ,140,381",457.0%,"$ 1 ,881,830",-44.4%,"$ 3 37,879","$ 6 07,480"
95227,0.0%,"$ 4 ,807,684",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95230,25.2%,"$ 7 ,466,184",99.2%,"$ 5 ,963,432",-14.4%,"$ 2 ,993,360",28.1%,"$ 3 ,495,547","$ 2 ,727,762"
95231,171.1%,"$ 4 ,046,986",269.4%,"$ 1 ,492,606",6.6%,"$ 4 04,088",-68.2%,"$ 3 79,002","$ 1 ,190,065"
95236,63.0%,"$ 4 ,171,900",0.0%,"$ 2 ,559,700",0.0%,$ -,0.0%,$ -,$ -
95237,33.0%,"$ 3 ,989,900",0.0%,"$ 3 ,000,000",0.0%,$ -,0.0%,$ -,$ -
95240,441.3%,"$ 1 4,459,625",-14.1%,"$ 2 ,671,241",72.0%,"$ 3 ,109,931",127.2%,"$ 1 ,807,782","$ 7 95,571"
95242,103.8%,"$ 8 ,491,528",86.2%,"$ 4 ,167,070",32.3%,"$ 2 ,237,856",2.7%,"$ 1 ,691,847","$ 1 ,647,207"
95258,3504.6%,"$ 5 ,758,681",7.8%,"$ 1 59,759",16.8%,"$ 1 48,154",6.4%,"$ 1 26,833","$ 1 19,190"
95304,222.1%,"$ 1 2,916,526",73.6%,"$ 4 ,009,683",34.2%,"$ 2 ,309,827",-62.9%,"$ 1 ,721,208","$ 4 ,644,152"
95320,24.8%,"$ 7 ,177,162",104.1%,"$ 5 ,750,917",338.3%,"$ 2 ,818,083",14.7%,"$ 6 42,951","$ 5 60,469"
95330,836.9%,"$ 7 ,964,050",-17.7%,"$ 8 50,000",0.0%,"$ 1 ,032,800",-100.0%,$ -,"$ 6 68,000"
95336,438.0%,"$ 2 4,627,706",161.0%,"$ 4 ,577,437",7.3%,"$ 1 ,754,134",144.1%,"$ 1 ,634,062","$ 6 69,487"
95337,32.0%,"$ 2 3,011,308",105.1%,"$ 1 7,437,784",7.2%,"$ 8 ,503,156",156.3%,"$ 7 ,929,785","$ 3 ,094,472"
95366,78.2%,"$ 1 ,801,250",5.1%,"$ 1 ,010,614",-49.3%,"$ 9 61,387",4.2%,"$ 1 ,897,024","$ 1 ,821,249"
95376,718.6%,"$ 1 7,385,671",161.3%,"$ 2 ,123,718",3.3%,"$ 8 12,729",2.9%,"$ 7 87,130","$ 7 64,800"
95377,124.7%,"$ 1 7,319,019",68.8%,"$ 7 ,707,521",-24.8%,"$ 4 ,566,212",0.2%,"$ 6 ,075,399","$ 6 ,063,236"
95391,0.0%,"$ 1 3,464,479",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
93401,76.6%,"$ 2 73,150,938",61.1%,"$ 1 54,667,764",39.1%,"$ 9 6,003,756",34.3%,"$ 6 9,040,411","$ 5 1,412,816"
93402,54.4%,"$ 8 7,205,168",62.8%,"$ 5 6,475,733",53.1%,"$ 3 4,692,374",95.0%,"$ 2 2,658,865","$ 1 1,622,549"
93405,131.0%,"$ 1 93,181,824",93.6%,"$ 8 3,621,446",-13.8%,"$ 4 3,186,791",88.1%,"$ 5 0,113,590","$ 2 6,642,407"
93420,56.3%,"$ 3 26,110,906",67.2%,"$ 2 08,631,827",70.8%,"$ 1 24,780,169",95.8%,"$ 7 3,058,377","$ 3 7,313,260"
93422,107.5%,"$ 5 31,573,859",62.9%,"$ 2 56,203,421",99.0%,"$ 1 57,278,015",45.9%,"$ 7 9,040,707","$ 5 4,159,033"
93424,93.7%,"$ 9 0,729,982",99.0%,"$ 4 6,831,094",0.0%,"$ 2 3,535,434",0.0%,$ -,$ -
93428,48.2%,"$ 2 52,379,477",45.0%,"$ 1 70,276,268",89.2%,"$ 1 17,403,551",63.4%,"$ 6 2,049,937","$ 3 7,973,269"
93430,80.5%,"$ 3 8,040,680",38.0%,"$ 2 1,075,625",38.9%,"$ 1 5,268,019",35.1%,"$ 1 0,988,350","$ 8 ,135,302"
93432,29.8%,"$ 6 0,948,334",12.2%,"$ 4 6,965,962",14.2%,"$ 4 1,862,179",123.8%,"$ 3 6,660,531","$ 1 6,379,711"
93433,287.1%,"$ 5 ,751,709",7.3%,"$ 1 ,485,751",333.1%,"$ 1 ,384,342",4.7%,"$ 3 19,634","$ 3 05,316"
93435,-48.1%,"$ 1 ,512,200",94.3%,"$ 2 ,915,000",0.0%,"$ 1 ,500,000",0.0%,"$ 1 ,500,000","$ 1 ,500,000"
93442,83.1%,"$ 3 4,665,222",45.7%,"$ 1 8,928,497",104.2%,"$ 1 2,995,719",45.8%,"$ 6 ,362,984","$ 4 ,363,750"
93444,92.2%,"$ 6 3,056,346",41.4%,"$ 3 2,811,678",29.0%,"$ 2 3,203,970",88.8%,"$ 1 7,992,159","$ 9 ,528,187"
93445,464.4%,"$ 3 ,396,460",0.0%,"$ 6 01,818",0.0%,$ -,-100.0%,$ -,"$ 8 05,930"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
93446,62.8%,"$ 4 32,368,393",66.7%,"$ 2 65,517,415",86.5%,"$ 1 59,305,296",44.9%,"$ 8 5,434,894","$ 5 8,950,784"
93449,159.9%,"$ 1 27,619,463",87.1%,"$ 4 9,102,520",89.4%,"$ 2 6,242,571",20.9%,"$ 1 3,858,916","$ 1 1,462,367"
93451,41.5%,"$ 6 2,486,229",29.5%,"$ 4 4,167,211",77.0%,"$ 3 4,099,171",124.2%,"$ 1 9,264,234","$ 8 ,593,947"
93452,-0.4%,"$ 1 9,227,109",7.4%,"$ 1 9,303,778",90.9%,"$ 1 7,966,300",27.8%,"$ 9 ,413,825","$ 7 ,366,852"
93453,9.1%,"$ 1 08,545,826",21.5%,"$ 9 9,468,905",21.6%,"$ 8 1,890,484",67.1%,"$ 6 7,349,533","$ 4 0,302,710"
93461,4.4%,"$ 3 ,224,335",5.3%,"$ 3 ,088,862",5.9%,"$ 2 ,933,005",224.5%,"$ 2 ,769,664","$ 8 53,437"
93465,63.9%,"$ 1 14,924,196",73.0%,"$ 7 0,098,324",79.6%,"$ 4 0,522,450",196.3%,"$ 2 2,565,533","$ 7 ,615,873"
94002,209.8%,"$ 7 4,095,156",64.0%,"$ 2 3,913,702",79.1%,"$ 1 4,581,294",35.3%,"$ 8 ,141,213","$ 6 ,015,599"
94005,73.2%,"$ 3 0,767,474",19.2%,"$ 1 7,761,915",166.0%,"$ 1 4,900,533",48.8%,"$ 5 ,601,203","$ 3 ,763,164"
94010,142.1%,"$ 4 04,614,667",87.4%,"$ 1 67,135,411",88.0%,"$ 8 9,182,717",37.5%,"$ 4 7,435,081","$ 3 4,500,373"
94014,355.4%,"$ 7 4,462,972",108.7%,"$ 1 6,349,952",11.5%,"$ 7 ,833,798",35.4%,"$ 7 ,025,449","$ 5 ,190,493"
94015,97.9%,"$ 3 0,363,776",106.8%,"$ 1 5,344,950",10.0%,"$ 7 ,420,794",17.8%,"$ 6 ,747,001","$ 5 ,726,059"
94018,0.0%,"$ 1 6,675,743",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
94019,42.7%,"$ 1 29,082,091",53.3%,"$ 9 0,442,503",10.6%,"$ 5 8,981,084",89.8%,"$ 5 3,327,702","$ 2 8,091,311"
94020,16.2%,"$ 1 11,520,571",26.5%,"$ 9 5,976,622",57.2%,"$ 7 5,884,337",50.0%,"$ 4 8,282,024","$ 3 2,180,517"
94021,21.2%,"$ 2 6,741,117",23.1%,"$ 2 2,069,976",122.1%,"$ 1 7,930,297",247.9%,"$ 8 ,073,443","$ 2 ,320,297"
94025,180.1%,"$ 6 9,238,439",81.9%,"$ 2 4,721,109",33.5%,"$ 1 3,592,747",95.9%,"$ 1 0,179,401","$ 5 ,197,443"
94027,198.9%,"$ 9 8,440,185",219.5%,"$ 3 2,934,799",-47.5%,"$ 1 0,308,805",183.8%,"$ 1 9,621,297","$ 6 ,912,641"
94028,106.4%,"$ 4 42,397,653",67.5%,"$ 2 14,310,624",33.7%,"$ 1 27,981,213",66.4%,"$ 9 5,726,317","$ 5 7,538,736"
94030,271.8%,"$ 7 5,115,274",264.0%,"$ 2 0,203,824",31.6%,"$ 5 ,551,180",36.3%,"$ 4 ,216,625","$ 3 ,093,280"
94037,63.0%,"$ 2 5,066,582",20.0%,"$ 1 5,382,238",29.2%,"$ 1 2,823,117",137.3%,"$ 9 ,926,075","$ 4 ,183,516"
94038,84.7%,"$ 9 ,686,735",50.7%,"$ 5 ,244,339",165.3%,"$ 3 ,480,192",-12.9%,"$ 1 ,311,698","$ 1 ,505,344"
94044,118.1%,"$ 2 26,496,460",40.3%,"$ 1 03,829,985",19.3%,"$ 7 4,011,324",41.9%,"$ 6 2,063,812","$ 4 3,743,658"
94060,9.7%,"$ 9 6,041,357",25.1%,"$ 8 7,564,325",59.1%,"$ 7 0,022,641",96.7%,"$ 4 4,017,195","$ 2 2,382,556"
94061,502.9%,"$ 3 9,985,162",168.0%,"$ 6 ,631,623",449.9%,"$ 2 ,474,336",0.0%,"$ 4 50,000",$ -
94062,48.1%,"$ 7 05,211,551",55.9%,"$ 4 76,137,620",110.9%,"$ 3 05,359,964",70.7%,"$ 1 44,794,992","$ 8 4,847,363"
94063,57.5%,"$ 1 1,092,933",105.5%,"$ 7 ,041,916",-5.2%,"$ 3 ,427,516",16.4%,"$ 3 ,616,626","$ 3 ,108,362"
94065,1529.0%,"$ 2 ,595,775",0.0%,"$ 1 59,350",0.0%,$ -,0.0%,$ -,$ -
94066,599.5%,"$ 7 9,219,095",459.0%,"$ 1 1,324,883",43.1%,"$ 2 ,026,087",-53.5%,"$ 1 ,415,670","$ 3 ,045,100"
94070,106.9%,"$ 1 40,107,659",192.7%,"$ 6 7,705,364",46.1%,"$ 2 3,134,429",77.7%,"$ 1 5,839,328","$ 8 ,913,391"
94074,23.1%,"$ 2 4,919,261",50.3%,"$ 2 0,235,197",56.7%,"$ 1 3,467,140",-18.8%,"$ 8 ,596,083","$ 1 0,581,610"
94080,297.4%,"$ 3 9,320,599",150.4%,"$ 9 ,894,924",36.0%,"$ 3 ,952,240",34.0%,"$ 2 ,905,640","$ 2 ,168,000"
94128,-100.0%,$ -,0.0%,"$ 9 65,000",0.0%,$ -,0.0%,$ -,$ -
94303,283.6%,"$ 2 7,044,381",-25.8%,"$ 7 ,050,062",-24.4%,"$ 9 ,505,043",43.7%,"$ 1 2,565,794","$ 8 ,741,743"
94401,253.5%,"$ 2 8,505,396",89.9%,"$ 8 ,064,039",-2.6%,"$ 4 ,246,810",3.3%,"$ 4 ,361,926","$ 4 ,222,672"
94402,216.7%,"$ 1 11,572,727",126.2%,"$ 3 5,232,044",87.4%,"$ 1 5,574,173",158.8%,"$ 8 ,312,733","$ 3 ,211,797"
94403,109.5%,"$ 2 6,722,054",765.3%,"$ 1 2,753,670",0.0%,"$ 1 ,473,950",0.0%,$ -,$ -
94404,149.7%,"$ 8 ,916,353",120.7%,"$ 3 ,570,994",70.8%,"$ 1 ,618,022",-4.9%,"$ 9 47,500","$ 9 96,022"
93013,32.8%,"$ 3 52,410,950",25.8%,"$ 2 65,380,774",64.6%,"$ 2 10,942,764",191.9%,"$ 1 28,155,781","$ 4 3,903,081"
93067,138.8%,"$ 8 1,165,447",232.7%,"$ 3 3,987,953",31.9%,"$ 1 0,217,198",1672.6%,"$ 7 ,749,102","$ 4 37,169"
93101,270.3%,"$ 1 16,231,670",115.0%,"$ 3 1,386,506",16.7%,"$ 1 4,597,672",35.2%,"$ 1 2,508,768","$ 9 ,253,300"
93103,53.9%,"$ 7 76,561,285",42.2%,"$ 5 04,515,940",73.8%,"$ 3 54,870,829",59.1%,"$ 2 04,178,683","$ 1 28,301,107"
93105,37.0%,"$ 1 ,753,891,662",19.7%,"$ 1 ,279,994,050",33.9%,"$ 1 ,069,584,060",72.5%,"$ 7 99,027,480","$ 4 63,235,206"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
93108,33.4%,"$ 2 ,719,355,859",33.0%,"$ 2 ,038,960,452",58.8%,"$ 1 ,532,676,095",100.8%,"$ 9 65,127,950","$ 4 80,558,332"
93109,113.7%,"$ 6 2,880,569",137.3%,"$ 2 9,417,870",-15.2%,"$ 1 2,395,977",54.2%,"$ 1 4,621,242","$ 9 ,480,498"
93110,197.2%,"$ 2 71,641,649",40.3%,"$ 9 1,392,811",76.3%,"$ 6 5,137,961",85.8%,"$ 3 6,955,941","$ 1 9,895,052"
93111,165.2%,"$ 3 65,363,320",28.5%,"$ 1 37,785,258",46.6%,"$ 1 07,207,177",53.6%,"$ 7 3,124,331","$ 4 7,614,065"
93117,62.1%,"$ 3 88,648,216",7.4%,"$ 2 39,753,773",34.9%,"$ 2 23,307,258",43.8%,"$ 1 65,499,678","$ 1 15,092,299"
93254,-28.8%,"$ 1 1,290,708",144.1%,"$ 1 5,861,096",34.8%,"$ 6 ,499,103",10.1%,"$ 4 ,822,639","$ 4 ,381,505"
93427,43.7%,"$ 8 1,658,388",12.8%,"$ 5 6,844,887",194.9%,"$ 5 0,400,533",622.0%,"$ 1 7,088,513","$ 2 ,366,863"
93429,19.3%,"$ 2 ,774,960",2.8%,"$ 2 ,325,612",50.8%,"$ 2 ,262,500",0.0%,"$ 1 ,500,000","$ 1 ,500,000"
93434,82.2%,"$ 6 ,234,474",50.3%,"$ 3 ,422,207",2.5%,"$ 2 ,277,322",-14.5%,"$ 2 ,221,487","$ 2 ,598,356"
93436,73.9%,"$ 2 35,629,046",66.2%,"$ 1 35,465,945",41.3%,"$ 8 1,507,791",194.2%,"$ 5 7,676,324","$ 1 9,604,185"
93440,25.5%,"$ 4 7,578,028",81.1%,"$ 3 7,905,215",35.6%,"$ 2 0,925,593",103.6%,"$ 1 5,436,201","$ 7 ,581,970"
93441,6.0%,"$ 6 4,375,205",13.0%,"$ 6 0,759,093",62.3%,"$ 5 3,776,552",195.5%,"$ 3 3,128,622","$ 1 1,210,862"
93454,57.7%,"$ 8 7,746,966",20.4%,"$ 5 5,645,209",52.9%,"$ 4 6,233,178",40.6%,"$ 3 0,230,843","$ 2 1,507,194"
93455,126.9%,"$ 9 5,014,978",144.1%,"$ 4 1,873,880",64.7%,"$ 1 7,152,834",277.6%,"$ 1 0,414,174","$ 2 ,758,018"
93458,0.0%,"$ 3 1,219,430",-100.0%,$ -,7.5%,"$ 1 ,297,905",6.7%,"$ 1 ,207,173","$ 1 ,131,744"
93460,14.1%,"$ 3 08,151,679",28.5%,"$ 2 69,982,647",94.1%,"$ 2 10,062,731",91.1%,"$ 1 08,206,926","$ 5 6,621,379"
93463,72.4%,"$ 1 59,002,952",133.7%,"$ 9 2,232,869",79.9%,"$ 3 9,469,937",174.0%,"$ 2 1,944,450","$ 8 ,010,352"
94022,143.7%,"$ 5 37,970,497",40.5%,"$ 2 20,725,223",83.8%,"$ 1 57,154,423",60.7%,"$ 8 5,485,710","$ 5 3,205,312"
94024,93.2%,"$ 3 44,113,480",47.1%,"$ 1 78,133,184",73.8%,"$ 1 21,058,844",131.2%,"$ 6 9,663,975","$ 3 0,129,333"
94040,237.1%,"$ 9 ,463,809",80.5%,"$ 2 ,807,522",12.0%,"$ 1 ,554,996",5.6%,"$ 1 ,387,842","$ 1 ,314,576"
94041,0.0%,"$ 4 ,617,434",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
94043,430.8%,"$ 8 ,492,064",198.7%,"$ 1 ,599,859",18.4%,"$ 5 35,570",6.5%,"$ 4 52,384","$ 4 24,896"
94085,1583.8%,"$ 4 ,251,700",-46.1%,"$ 2 52,500",0.0%,"$ 4 68,800",0.0%,$ -,$ -
94086,174.1%,"$ 9 ,491,308",128.9%,"$ 3 ,462,346",-19.1%,"$ 1 ,512,272",41.1%,"$ 1 ,868,977","$ 1 ,324,861"
94087,345.2%,"$ 1 2,378,091",132.3%,"$ 2 ,780,182",73.4%,"$ 1 ,196,779",-43.9%,"$ 6 90,119","$ 1 ,229,222"
94089,396.8%,"$ 5 ,624,837",0.0%,"$ 1 ,132,150",0.0%,$ -,0.0%,$ -,$ -
94301,151.1%,"$ 4 9,167,891",45.2%,"$ 1 9,577,772",31.8%,"$ 1 3,482,270",88.1%,"$ 1 0,230,288","$ 5 ,439,986"
94304,148.5%,"$ 2 6,382,346",44.2%,"$ 1 0,616,248",1.5%,"$ 7 ,361,413",331.4%,"$ 7 ,254,571","$ 1 ,681,800"
94305,110.5%,"$ 1 7,050,089",62.8%,"$ 8 ,100,686",164.2%,"$ 4 ,976,006",-33.4%,"$ 1 ,883,600","$ 2 ,829,700"
94306,313.1%,"$ 2 9,679,662",711.4%,"$ 7 ,185,190",-45.9%,"$ 8 85,499",30.9%,"$ 1 ,635,487","$ 1 ,249,330"
95002,63.9%,"$ 3 ,719,816",7.1%,"$ 2 ,269,155",-21.2%,"$ 2 ,119,539",33.3%,"$ 2 ,689,957","$ 2 ,017,820"
95008,238.6%,"$ 1 1,022,191",218.8%,"$ 3 ,255,016",-31.0%,"$ 1 ,021,106",55.9%,"$ 1 ,479,336","$ 9 49,017"
95013,0.0%,"$ 1 ,592,321",-100.0%,$ -,0.0%,"$ 7 10,100",0.0%,$ -,$ -
95014,124.6%,"$ 2 01,412,873",-35.1%,"$ 8 9,682,777",255.9%,"$ 1 38,283,660",151.6%,"$ 3 8,859,993","$ 1 5,448,076"
95020,152.8%,"$ 3 18,638,494",55.9%,"$ 1 26,022,131",84.6%,"$ 8 0,846,980",53.5%,"$ 4 3,789,045","$ 2 8,525,521"
95030,68.9%,"$ 8 51,001,099",32.9%,"$ 5 03,852,126",22.7%,"$ 3 79,158,821",186.8%,"$ 3 08,947,992","$ 1 07,729,797"
95032,102.8%,"$ 3 68,191,057",53.1%,"$ 1 81,579,428",31.3%,"$ 1 18,613,862",93.7%,"$ 9 0,350,795","$ 4 6,634,549"
95035,545.7%,"$ 4 3,369,300",42.8%,"$ 6 ,716,872",-20.5%,"$ 4 ,704,401",117.0%,"$ 5 ,916,825","$ 2 ,726,686"
95037,76.0%,"$ 5 04,619,079",60.7%,"$ 2 86,738,751",50.3%,"$ 1 78,430,346",34.5%,"$ 1 18,700,158","$ 8 8,232,049"
95046,77.2%,"$ 6 3,259,235",328.4%,"$ 3 5,697,585",50.6%,"$ 8 ,331,985",84.5%,"$ 5 ,533,600","$ 3 ,000,000"
95050,327.5%,"$ 1 4,288,700",152.7%,"$ 3 ,342,197",-39.3%,"$ 1 ,322,517",5.8%,"$ 2 ,179,392","$ 2 ,060,078"
95051,327.7%,"$ 1 2,682,091",159.3%,"$ 2 ,965,297",36.7%,"$ 1 ,143,405",3.2%,"$ 8 36,470","$ 8 10,430"
95054,57.3%,"$ 4 ,671,250",630.9%,"$ 2 ,970,000",0.0%,"$ 4 06,350",-100.0%,$ -,"$ 1 ,134,900"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
95070,138.8%,"$ 8 12,617,032",51.9%,"$ 3 40,261,439",50.8%,"$ 2 24,026,597",57.8%,"$ 1 48,595,696","$ 9 4,166,191"
95110,15.2%,"$ 1 6,340,247",7.9%,"$ 1 4,185,857",0.9%,"$ 1 3,149,214",8.1%,"$ 1 3,033,658","$ 1 2,059,839"
95111,158.3%,"$ 2 4,052,519",24.8%,"$ 9 ,311,514",10.3%,"$ 7 ,464,121",6.5%,"$ 6 ,766,334","$ 6 ,350,850"
95112,85.1%,"$ 6 1,579,059",-8.8%,"$ 3 3,264,130",-8.3%,"$ 3 6,488,764",-7.2%,"$ 3 9,810,012","$ 4 2,908,062"
95113,0.0%,$ -,0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95116,81.4%,"$ 2 6,034,631",-34.5%,"$ 1 4,354,077",-27.3%,"$ 2 1,902,777",1.9%,"$ 3 0,117,572","$ 2 9,562,478"
95117,359.4%,"$ 9 ,815,442",126.0%,"$ 2 ,136,591",5.6%,"$ 9 45,503",9.2%,"$ 8 95,557","$ 8 20,207"
95118,27.2%,"$ 1 6,194,492",-54.4%,"$ 1 2,732,354",3.1%,"$ 2 7,941,166",-2.3%,"$ 2 7,104,558","$ 2 7,733,202"
95119,1118.0%,"$ 1 2,551,021",0.0%,"$ 1 ,030,500",-100.0%,$ -,0.0%,"$ 5 15,700",$ -
95120,163.3%,"$ 2 99,453,355",170.8%,"$ 1 13,752,313",49.4%,"$ 4 2,007,022",46.1%,"$ 2 8,112,845","$ 1 9,245,249"
95121,784.9%,"$ 2 5,699,905",-17.3%,"$ 2 ,904,117",8.1%,"$ 3 ,511,436",-14.5%,"$ 3 ,249,438","$ 3 ,798,532"
95122,101.8%,"$ 2 4,197,131",-9.4%,"$ 1 1,992,947",11.2%,"$ 1 3,239,751",7.3%,"$ 1 1,902,098","$ 1 1,096,008"
95123,305.6%,"$ 3 2,228,776",98.3%,"$ 7 ,946,606",5.8%,"$ 4 ,007,959",15.7%,"$ 3 ,786,942","$ 3 ,273,017"
95124,305.9%,"$ 2 6,887,853",357.4%,"$ 6 ,623,912",-18.7%,"$ 1 ,448,270",54.9%,"$ 1 ,781,837","$ 1 ,150,329"
95125,129.6%,"$ 3 2,727,529",15.8%,"$ 1 4,255,404",23.4%,"$ 1 2,310,586",105.3%,"$ 9 ,977,622","$ 4 ,860,147"
95126,40.4%,"$ 2 0,991,930",55.1%,"$ 1 4,951,813",-0.7%,"$ 9 ,637,603",12.4%,"$ 9 ,707,327","$ 8 ,633,527"
95127,115.9%,"$ 1 01,803,472",46.1%,"$ 4 7,162,096",34.0%,"$ 3 2,287,793",5.6%,"$ 2 4,090,081","$ 2 2,813,337"
95128,278.2%,"$ 1 3,328,391",59.3%,"$ 3 ,524,600",25.9%,"$ 2 ,213,189",7.4%,"$ 1 ,757,984","$ 1 ,637,352"
95129,451.5%,"$ 1 6,920,254",39.0%,"$ 3 ,068,018",2.0%,"$ 2 ,206,641",70.5%,"$ 2 ,162,912","$ 1 ,268,251"
95130,0.0%,"$ 1 ,825,000",-100.0%,$ -,0.0%,"$ 5 80,000",0.0%,$ -,$ -
95131,134.8%,"$ 6 ,464,259",49.5%,"$ 2 ,752,591",168.7%,"$ 1 ,841,461",5.0%,"$ 6 85,291","$ 6 52,715"
95132,140.8%,"$ 3 5,803,802",46.6%,"$ 1 4,867,190",136.1%,"$ 1 0,141,682",6.2%,"$ 4 ,295,554","$ 4 ,046,681"
95133,125.4%,"$ 1 5,803,667",16.9%,"$ 7 ,012,594",54.3%,"$ 5 ,996,615",525.3%,"$ 3 ,887,394","$ 6 21,696"
95134,1793.5%,"$ 3 ,787,000",-25.2%,"$ 2 00,000",0.0%,"$ 2 67,500",0.0%,$ -,$ -
95135,282.4%,"$ 4 4,763,410",647.8%,"$ 1 1,704,930",-47.3%,"$ 1 ,565,287",-38.9%,"$ 2 ,967,659","$ 4 ,855,694"
95136,530.6%,"$ 1 2,254,496",0.0%,"$ 1 ,943,261",0.0%,$ -,-100.0%,$ -,"$ 2 45,000"
95138,235.9%,"$ 6 7,265,063",16.7%,"$ 2 0,025,398",132.4%,"$ 1 7,153,960",-0.8%,"$ 7 ,382,100","$ 7 ,444,427"
95139,126.5%,"$ 6 ,995,520",197.5%,"$ 3 ,089,007",7.4%,"$ 1 ,038,346",6.4%,"$ 9 66,969","$ 9 08,762"
95140,27.5%,"$ 2 5,172,068",58.5%,"$ 1 9,739,674",65.5%,"$ 1 2,457,711",34.4%,"$ 7 ,525,887","$ 5 ,598,782"
95141,32.7%,"$ 4 ,657,400",92.9%,"$ 3 ,510,000",0.0%,"$ 1 ,819,350",0.0%,$ -,$ -
95148,524.0%,"$ 7 8,847,619",93.5%,"$ 1 2,636,743",17.6%,"$ 6 ,531,517",-11.4%,"$ 5 ,554,274","$ 6 ,270,241"
95003,157.3%,"$ 8 38,141,258",45.8%,"$ 3 25,718,701",16.5%,"$ 2 23,449,486",220.5%,"$ 1 91,856,882","$ 5 9,862,146"
95005,103.8%,"$ 7 08,793,359",68.0%,"$ 3 47,760,036",76.9%,"$ 2 07,011,480",65.8%,"$ 1 16,992,928","$ 7 0,544,153"
95006,56.4%,"$ 1 ,113,725,357",58.2%,"$ 7 11,958,198",118.5%,"$ 4 50,097,954",71.2%,"$ 2 06,005,496","$ 1 20,300,504"
95007,0.0%,"$ 1 08,988,563",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95010,209.4%,"$ 7 ,118,773",1300.6%,"$ 2 ,300,774",5.3%,"$ 1 64,268",4.0%,"$ 1 56,000","$ 1 50,000"
95017,26.9%,"$ 2 7,136,551",88.1%,"$ 2 1,378,435",88.6%,"$ 1 1,364,692",-37.1%,"$ 6 ,027,208","$ 9 ,583,117"
